Scraped date,Category,Series Title,Release Year,SNO,ENO,Episode Title,links
2018-03-13,FOX Shows,9-1-1,2018,1,1,Pilot,{'fox': ['a92c44b3d9e4c33a274d07377f844681']}
2018-03-13,FOX Shows,Drugs Inc.: The Fix,2018,1,1,Sin City,{'fox': ['57b6209bf237c4b2b7b7232a8ca1b447']}
2018-03-13,FOX Shows,The X-Files,1993,11,8,Familiar,{'fox': ['41e96f02b4dbf327ba283ff09fa29f8a']}
2018-03-13,FOX Shows,The X-Files,1993,11,7,Rm9sbG93ZXJz,{'fox': ['39b3ae45d91f1e826f679ad8555a5a33']}
2018-03-13,FOX Shows,The X-Files,1993,11,6,Kitten,{'fox': ['d97b9418487c8ea0e16ab2ad5a5acea9']}
2018-03-13,FOX Shows,The X-Files,1993,11,5,Ghouli,{'fox': ['887a14a38eca2e2fb441be18ef93a81d']}
2018-03-13,FOX Shows,The X-Files,1993,11,4,The Lost Art of Forehead Sweat,{'fox': ['8e9afbeba9cebf4014cfb5b110eb0afd']}
2018-03-13,FOX Shows,The X-Files,1993,11,3,Plus One,{'fox': ['83d60adac8590fba71eb6e3608b0ea0e']}
2018-03-13,FOX Shows,The X-Files,1993,11,2,This,{'fox': ['0710fcb35a85765b97291c5d43dc0bc4']}
2018-03-13,FOX Shows,The X-Files,1993,11,1,My Struggle III,{'fox': ['dd3905b010b3da71e7c0d83414cc768a']}
2018-03-13,FOX Shows,The X-Files,1993,10,6,My Struggle II,{'fox': ['24d3c8af7bf9320ecd1756c7fbe7c105']}
2018-03-13,FOX Shows,The X-Files,1993,10,5,Babylon,{'fox': ['30bc7d4d5369c8652f59982ff09dc46c']}
2018-03-13,FOX Shows,The X-Files,1993,10,4,Home Again,{'fox': ['4e2b5c4bf894077d1ae5c2372cd25852']}
2018-03-13,FOX Shows,The X-Files,1993,10,3,Mulder and Scully Meet the Were-Monster,{'fox': ['f453ae1b5a8f256b5ea4ccf965719f89']}
2018-03-13,FOX Shows,The X-Files,1993,10,2,Founder's Mutation,{'fox': ['f24feef31540c9e317df9a9d33cc87fe']}
2018-03-13,FOX Shows,The X-Files,1993,10,1,My Struggle,{'fox': ['dccb17ef3c6917c8dd2148df5b4ec7cd']}
2018-03-13,FOX Shows,The X-Files,1993,9,20,"The Truth, Part 2",{'fox': ['cab969882e64112843897af3d34cb752']}
2018-03-13,FOX Shows,The X-Files,1993,9,19,"The Truth, Part 1",{'fox': ['9b4d8d54e3a70e28bd3257201aa37630']}
2018-03-13,FOX Shows,The X-Files,1993,9,18,Sunshine Days,{'fox': ['af48ea33af9369e981ca98036750a0f9']}
2018-03-13,FOX Shows,The X-Files,1993,9,17,Release,{'fox': ['ce0073513a70313bc02e88007639025c']}
2018-03-13,FOX Shows,The X-Files,1993,9,16,William,{'fox': ['36213b04fb2b20f0edebacf4d4a5c912']}
2018-03-13,FOX Shows,The X-Files,1993,9,15,Jump the Shark,{'fox': ['de65f398ea3c1821312ee2b8160bcafb']}
2018-03-13,FOX Shows,The X-Files,1993,9,14,Scary Monsters,{'fox': ['13f831385cf0193e2f27b9308b1a8b23']}
2018-03-13,FOX Shows,The X-Files,1993,9,13,Improbable,{'fox': ['0177acd8a3618e864638c80dd19bc0fd']}
2018-03-13,FOX Shows,The X-Files,1993,9,12,Underneath,{'fox': ['50123853a4f38a73e85b99ab5136846c']}
2018-03-13,FOX Shows,The X-Files,1993,9,11,Audrey Pauley,{'fox': ['6a0b1ae6b36b92f8af376d6c1856e60b']}
2018-03-13,FOX Shows,The X-Files,1993,9,10,Providence,{'fox': ['ba36917c939aa5ede392e3b49dd15200']}
2018-03-13,FOX Shows,The X-Files,1993,9,9,Provenance,{'fox': ['57d820fbc96fa463867e5419fde9732a']}
2018-03-13,FOX Shows,The X-Files,1993,9,8,Hellbound,{'fox': ['10f5f04000a56bc28e38accba5fec80a']}
2018-03-13,FOX Shows,The X-Files,1993,9,7,John Doe,{'fox': ['b2efd3faeff7946384512998a512c986']}
2018-03-13,FOX Shows,The X-Files,1993,9,6,Trust No 1,{'fox': ['2a726b2e238d52715d25e11e09970799']}
2018-03-13,FOX Shows,The X-Files,1993,9,5,Lord of the Flies,{'fox': ['c94c3a1883be04fca4d1911be388648e']}
2018-03-13,FOX Shows,The X-Files,1993,9,4,4-D,{'fox': ['7b78631a6bc471f3b1db0fa714cdbf01']}
2018-03-13,FOX Shows,The X-Files,1993,9,3,Daemonicus,{'fox': ['6b2a2a5e11f4d4f1b70200e93d569e81']}
2018-03-13,FOX Shows,The X-Files,1993,9,2,"Nothing Important Happened Today, Part 2",{'fox': ['f4efb6a296c0184430895864b3252456']}
2018-03-13,FOX Shows,The X-Files,1993,9,1,Nothing Important Happened Today,{'fox': ['96eec04cccf5f8644a11f5f46c20f7a3']}
2018-03-13,FOX Shows,The X-Files,1993,8,21,Existence,{'fox': ['1053c70a78b3f2b2e3d45aa4f2a8b463']}
2018-03-13,FOX Shows,The X-Files,1993,8,20,Essence,{'fox': ['84d6cf5677e86601670fb44a5bbb4a19']}
2018-03-13,FOX Shows,The X-Files,1993,8,19,Alone,{'fox': ['ff952329e764f9e96e15c9a63a2c10ef']}
2018-03-13,FOX Shows,The X-Files,1993,8,18,Vienen,{'fox': ['2e06e96355e0bd43dbc12a8bafdddaeb']}
2018-03-13,FOX Shows,The X-Files,1993,8,17,Empedocles,{'fox': ['ff804660681026f06cf0aedca1eabf20']}
2018-03-13,FOX Shows,The X-Files,1993,8,16,Three Words,{'fox': ['a51bc790b5216ed8ea04d235dda5fb5f']}
